Apple [ˈæpəl] - Яблоко
or [ɔːr] - или
accessible [əkˈsɛsəbl] - доступным
Gateway Timeout [ˈɡeɪtweɪ ˈtaɪmaʊt] - Превышено время ожидания шлюза
feel [fiːl] - чувствовать
free [friː] - свободным
to [tuː] - к
ask [æsk] - спрашивать
if [ɪf] - если
you [juː] - вы
need [niːd] - нуждаетесь
any [ˈɛni] - какие-либо
further [ˈfɜːrðər] - дальнейшие
assistance [əˈsɪstəns] - помощь
Thank you [θæŋk juː] - Спасибо
There [ðɛr] - Там
could [kʊd] - могло бы
be [biː] - быть
various [ˈvɛriəs] - разные
reasons [ˈriːzənz] - причины
why [waɪ] - почему
a [ə] - один
repository [rɪˈpɒzəˌtɔːri] - репозиторий
might [maɪt] - мог бы
not [nɒt] - не
be [biː] - быть
found [faʊnd] - найденным
or [ɔːr] - или
accessible [əkˈsɛsəbl] - доступным
SendMessage [ˌsɛnd ˈmɛsɪdʒ] - Отправить сообщение
to [tuː] - к
the [ðə] - тому
user [ˈjuːzər] - пользователю
GetUser [ɡɛt ˈjuːzər] - Получить пользователя
query [ˈkwɪri] - запрос
email [ˈiːmeɪl] - электронная почта
desired [dɪˈzaɪərd] - желаемый
userId [ˈjuːzərˌaɪd] - идентификатор пользователя
mocks [mɑːks] - имитирует
queryResponse [ˈkwɪri rɪˈspɒns] - ответ на запрос
spec [spɛk] - спецификация
testRegex [tɛst ˈriːdʒɛks] - регулярное выражение для теста
transform [trænsˈfɔrm] - трансформировать
bcryptjs [ˈbkrɪpt dʒəz] - bcryptjs (библиотека для хеширования паролей)
CORS [kɔrs] - CORS (политика безопасности для обмена данными между разными источниками)
dotenv [ˈdɒtˌɛnv] - dotenv (модуль для загрузки переменных окружения из файла .env)
nodemailer [ˈnoʊdˌmeɪlər] - nodemailer (модуль для отправки электронной почты)
request [rɪˈkwɛst] - запрос
querystring [ˈkwɪriˌstrɪŋ] - querystring (модуль для разбора и создания URL-кодированных данных)
randomstring [ˈrændəmˌstrɪŋ] - randomstring (модуль для генерации случайных строк)
application [ˌæplɪˈkeɪʃən] - приложение
Security [sɪˈkjʊrɪti] - Безопасность
An [ən] - Один
ORM [ɔːrm] - ORM (объектно-реляционное отображение)
Categories [ˈkætəɡɔːriz] - Категории
threads [θrɛdz] - ветви
UserProfile [ˈjuːzər ˈproʊˌfaɪl] - Профиль пользователя
TIP [tɪp] - Совет
Bootstrap [ˈbuːtˌstræp] - Bootstrap (фреймворк для разработки веб-интерфейсов)
Ionic [aɪˈɒnɪk] - Ionic (фреймворк для разработки мобильных приложений)
Grid [ɡrɪd] - Сетка
nav [næv] - навигация
leftmenu [lɛft ˈmɛnjuː] - левое меню
content [ˈkɒntɛnt] - контент
display [dɪsˈpleɪ] - отображение
grid [ɡrɪd] - сетка
fr [ɛf ɑːr] - со
gap [ɡæp] - зазор
sidebar [ˈsaɪdˌbɑːr] - боковая панель
rightmenu [raɪt ˈmɛnjuː] - правое меню
folder [ˈfoʊldər] - папка
components [kəmˈpoʊnənts] - компоненты
updated [ʌpˈdeɪtɪd] - обновленный
Main [meɪn] - Главный
Nav [næv] - Навигация
SideBar [saɪdˈbɑːr] - Боковая панель
LeftMenu [lɛft ˈmɛnjuː] - Левое меню
RightMenu [raɪt ˈmɛnjuː] - Правое меню
screen [skriːn] - экран
orientation [ˌɔːriənˈteɪʃən] - ориентация
portrait [ˈpɔːrtrɪt] - портрет
mode [moʊd] - режим
hooks [hʊks] - хуки
WindowDimension [ˈwɪndoʊ dɪˈmɛnʃən] - WindowDimension (размеры окна)
useWindowDimensions [juz ˈwɪndoʊ dɪˈmɛnʃənz] - useWindowDimensions (хук для получения размеров окна)
dimension [dɪˈmɛnʃən] - размер
height [haɪt] - высота
width [wɪdθ] - ширина
handleResize [ˈhændl riːˈzaɪz] - обработчик изменения размера
setDimension [sɛt dɪˈmɛnʃən] - установить размер
resize [riːˈzaɪz] - изменять размер
UserProfileReducer [ˈjuːzər proʊˌfaɪl rɪˈdjuːsər] - UserProfileReducer (редюсер профиля пользователя)
getDerivedStateFromError [ɡɛt dɪˈvaɪvd steɪt frəm ˈerər] - getDerivedStateFromError (статический метод для обработки ошибок)
componentDidCatch [kəmˈpoʊnənt dɪd kætʃ] - componentDidCatch (метод для обработки ошибок)
ErrorBoundaryProps [ˈɛrər ˈbaʊndəri prɒps] - ErrorBoundaryProps (свойства компонента ErrorBoundary)
ErrorBoundaryState [ˈɛrər ˈbaʊndəri steɪt] - ErrorBoundaryState (состояние компонента ErrorBoundary)
ErrorBoundary [ˈɛrər ˈbaʊndəri] - ErrorBoundary (компонент для обработки ошибок)
hasError [hæz ˈɛrər] - есть ошибка
On [ɒn] - При
WARNING [ˈwɔrnɪŋ] - Предупреждение
try [traɪ] - попробовать
Error [ˈɛrər] - Ошибка
x [ɛks] - x
services [ˈsɜːrvɪsɪz] - сервисы
inside [ɪnˈsaɪd] - внутри
Category [ˈkætəɡɔːri] - Категория
model [ˈmɒdl] - модель
categories [ˈkætəɡɔːriz] - категории
Left [lɛft] - Левый
Menu [ˈmɛnjuː] - Меню
getCategories [ɡɛt ˈkætəɡɔːriz] - получить категории
DataService [ˈdeɪtə ˈsɜːrvɪs] - DataService (сервис для получения данных)
UserProfileSetType [ˈjuːzər ˈproʊˌfaɪl sɛt taɪp] - UserProfileSetType (тип для установки профиля пользователя)
UserProfilePayload [ˈjuːzər ˈproʊˌfaɪl ˈpeɪloʊd] - UserProfilePayload (полезная нагрузка профиля пользователя)
UserProfileAction [ˈjuːzər ˈproʊˌfaɪl ˈækʃən] - UserProfileAction (действие профиля пользователя)
SideBarMenus [saɪdˈbɑːr ˈmɛnjuːz] - SideBarMenus (меню боковой панели)
FontAwesome [ˌfɒntˈɑːwəsəm] - FontAwesome (библиотека значков)
ul [juː ɛl] - ul
none [nʌn] - ничего
userName [ˈjuːzər neɪm] - имя пользователя
getMobileMenu [ɡɛt ˈmoʊbaɪl ˈmɛnjuː] - получить мобильное меню
left [lɛft] - лево
right [raɪt] - право
top [tɒp] - верх
showMenu [ʃoʊ ˈmɛnjuː] - показать меню
onClickToggle [ɒn ˈklɪk ˈtɒɡəl] - при щелчке переключения
FontAwesomeIcon [ˌfɒntˈɑːwəsəm ˈaɪˌkɒn] - FontAwesomeIcon (компонент иконки FontAwesome)
ReactModal [ˌriːˈækt ˈmɒdəl] - ReactModal (компонент модального окна React)
onRequestClose [ɒn rɪˈkwɛst kloʊz] - при закрытии запроса
shouldCloseOnOverlayClick [ʃʊd kloʊz ɒn ˈoʊvərˌleɪ kliːk] - должно закрываться при щелчке по оверлею
isOpen [ˈoʊpən] - открыт
As [æz] - Как
appropriate [əˈproʊpriət] - соответствующий
imports [ˈɪmˌpɔːrts] - импорты
validator [ˈvælɪˌdeɪtər] - валидатор
common [ˈkɒmən] - общий
validators [ˈvælɪˌdeɪtərz] - валидаторы
strongPassword [strɒŋ ˈpæsˌwɜːrd] - надежный пароль
must [mʌst] - должен
contain [kənˈteɪn] - содержать
least [liːst] - по крайней мере
special [ˈspɛʃəl] - специальный
cap [kæp] - заглавная буква
auth [ɔːθ] - аутентификация
Registration [ˌrɛdʒɪˈstreɪʃən] - Регистрация
userReducer [ˈjuːzər rɪˈdjuːsər] - userReducer (редюсер пользователя)
switch [swɪtʃ] - переключатель
RegistrationProps [ˌrɛdʒɪˈstreɪʃən prɒps] - RegistrationProps (свойства компонента регистрации)
resultMsg [rɪˈzʌlt mɛsɪdʒ] - сообщение о результате
isRegisterDisabled [ɪz ˈrɛdʒɪstər dɪsˈeɪbl̩d] - регистрация отключена
allowRegister [əˈlaʊ ˈrɛdʒɪstər] - разрешить регистрацию
onChangeUserName [ɒn ˈʧeɪndʒ ˈjuːzər neɪm] - при изменении имени пользователя
cannot [ˈkænɒt] - нельзя
be [biː] - быть
onChangeEmail [ɒn ˈʧeɪndʒ ˈiːmeɪl] - при изменении электронной почты
onChangePassword [ɒn ˈʧeɪndʒ ˈpæsˌwɜːrd] - при изменении пароля
PasswordTestResult [ˈpæsˌwɜːrd tɛst ˈrɪzʌlt] - результат теста пароля
onChangePasswordConfirm [ɒn ˈʧeɪndʒ ˈpæsˌwɜːrd kənˈfɜrm] - при изменении подтверждения пароля
onChangedPasswordConfirm [ɒn ˈʧeɪndʒd ˈpæsˌwɜːrd kənˈfɜrm] - при изменении подтверждения пароля
passwordConfirm [ˈpæsˌwɜːrd kənˈfɜrm] - подтверждение пароля
passwordsSame [ˈpæsˌwɜːrdz seɪm] - пароли совпадают
do [duː] - выполнить
onClickRegister [ɒn ˈklɪk ˈrɛdʒɪstər] - при щелчке по кнопке "Зарегистрироваться"
onClickCancel [ɒn ˈklɪk ˈkænsəl] - при щелчке по кнопке "Отмена"
preventDefault [prɪˈvɛnt dɪˈfɔːlt] - предотвратить стандартное действие
Register [ˈrɛdʒɪstər] - Зарегистрировать
Close [kloʊz] - Закрыть
Login [ˈlɒɡɪn] - Войти
Logout [ˈlaʊɡaʊt] - Выйти
types [taɪps] - типы
ModalProps [ˈmoʊdəl prɒps] - ModalProps (свойства модального окна)
replace [rɪˈpleɪs] - заменить
isSubmitDisabled [ɪz səbˈmɪt dɪsˈeɪbl̩d] - отправка отключена
destructured [dɪsˈtrʌktʃərd] - деструктурированный
Dispatch [dɪsˈpætʃ] - Диспетчер
allowSubmit [əˈlaʊ səbˈmɪt] - разрешить отправку
setDisabled [sɛt dɪsˈeɪbl̩d] - установить отключение
onClick [ɒn ˈklɪk] - при щелчке
Since [sɪns] - Поскольку
areas [ˈɛriəz] - области
main [meɪn] - главная
MainHeader [meɪn ˈhɛdər] - MainHeader (главный заголовок)
renderHome [ˈrɛndər hoʊm] - отобразить домашнюю страницу
categorythreads [ˈkætəɡɔːri θrɛdz] - категории и темы
note [noʊt] - заметка
rename [riːˈneɪm] - переименовать
routes [ruːts] - маршруты
container [kənˈteɪnər] - контейнер
Thread [θrɛd] - Тема
ThreadItem [θrɛd ˈaɪtəm] - ThreadItem (элемент темы)
models [ˈmɒdəlz] - модели
points [pɔɪnts] - баллы
faReplyAll [fa ˈriːˌplaɪ ɔːl] - faReplyAll (иконка "Ответить всем" из FontAwesome)
Link [lɪŋk] - Ссылка
ThreadCardProps [θrɛd kɑːrd prɒps] - ThreadCardProps (свойства компонента ThreadCard)
ThreadCard [θrɛd kɑːrd] - ThreadCard (карточка темы)
thread [θrɛd] - тема
onClickShowThread [ɒn ˈklɪk ʃoʊ θrɛd] - при щелчке для отображения темы
pushing [ˈpʊʃɪŋ] - добавление
getPoints [ɡɛt pɔɪnts] - получить баллы
getResponses [ɡɛt rɪˈspɒnsɪz] - получить ответы
ThreadItems [θrɛd ˈaɪtəmz] - элементы темы
getPointsNonMobile [ɡɛt pɔɪnts nɒn ˈmoʊbaɪl] - получить баллы на десктопе
key [kiː] - ключ
categoryId [ˌkætəˈɡɔːri ˈaɪdiː] - идентификатор категории
flex [flɛks] - гибкий
solid [ˈsɒlɪd] - сплошной
category [ˈkætəˌɡɔːri] - категория
ThreadCards [θrɛd kɑːrdz] - карточки тем
threadCards [θrɛd kɑːrdz] - карточки тем
runs [rʌnz] - выполняется
rightMenu [raɪt ˈmɛnjuː] - правое меню
CategoryThread [ˈkætəˌɡɔːri θrɛd] - CategoryThread (тема категории)
lodash [ˈloʊdæʃ] - lodash (библиотека JavaScript)
groupBy [ɡruːp baɪ] - группировать по
TopCategory [tɒp ˈkætəˌɡɔːri] - TopCategory (верхняя категория)
topCategories [tɒp ˈkætəˌɡɔːriz] - верхние категории
getTopCategories [ɡɛt tɒp ˈkætəˌɡɔːriz] - получить верхние категории
TopCategoryProps [tɒp ˈkætəˌɡɔːri prɒps] - TopCategoryProps (свойства верхней категории)
strong [strɒŋ] - сильный
individual [ˌɪndɪˈvɪdʒuəl] - индивидуальный
getTimePastIfLessThanDay [ɡɛt taɪm pæst ɪf lɛs ðæn deɪ] - получить прошедшее время, если менее одного дня
ThreadHeader [θrɛd ˈhɛdər] - ThreadHeader (заголовок темы)
lastModifiedOn [læst ˈmɒdɪˌfaɪd ɒn] - последнее изменение
ThreadModel [θrɛd ˈmɒdəl] - ThreadModel (модель темы)
In [ɪn] - В
renderThread [ˈrɛndər θrɛd] - отобразить тему
select [səˈlɛkt] - выбрать
Install [ɪnˈstɔːl] - Установить
ThreadCategoryProps [θrɛd ˈkætəˌɡɔːri prɒps] - ThreadCategoryProps (свойства компонента ThreadCategory)
ThreadCategory [θrɛd ˈkætəˌɡɔːri] - ThreadCategory (категория темы)
catOptions [kæt ˈɒpʃənz] - варианты категорий
DropDown [drɒp daʊn] - выпадающий список
Title [taɪtl] - Заголовок
ThreadTitle [θrɛd taɪtl] - ThreadTitle (заголовок темы)
onChangeTitle [ɒn ˈʧeɪndʒ ˈtaɪtl] - при изменении заголовка
This [ðɪs] - Этот
slate [sleɪt] - slate (библиотека для редактирования текста)
emotion [ɪˈmoʊʃən] - emotion (библиотека эмоций)
editor [ˈɛdɪtər] - редактор
isHotKey [ɪz hɒt kiː] - является горячей клавишей
withHistory [wɪð ˈhɪsˌtɔːri] - с историей
Button [ˈbʌtn] - Кнопка
Toolbar [ˈtuːlbɑːr] - Панель инструментов
RichTextControls [rɪʧ tɛkst kənˈtroʊlz] - RichTextControls (управление форматированным текстом)
HOTKEYS [hɒt kiːz] - HOTKEYS (горячие клавиши)
initialValue [ɪˈnɪʃəl ˌvæljuː] - начальное значение
RichEditor [rɪʧ ˈɛdɪtər] - RichEditor (расширенный редактор)
renderElement [ˈrɛndər ˈɛlɪmənt] - отобразить элемент
Element [ˈɛlɪmənt] - Элемент
renderLeaf [ˈrɛndər lif] - отобразить лист
Leaf [lif] - Лист
Slate [sleɪt] - Slate (библиотека для редактирования текста)
Editable [ˈɛdɪtəbl̩] - редактируемый
existingBody [ɪɡˈzɪstɪŋ ˈbɒdi] - существующее тело
onChangeEditorValue [ɒn ˈʧeɪndʒ ˈɛdɪtər ˈvæljuː] - при изменении значения редактора
MarkButton [mɑrk ˈbʌtn] - MarkButton (кнопка выделения текста)
BlockButton [blɒk ˈbʌtn] - BlockButton (кнопка для блочных элементов)
isMarkActive [ɪz mɑrk ˈæktɪv] - выделение активно
toggleMark [ˈtɒɡəl mɑrk] - переключить выделение
Nodes [noʊdz] - узлы
isBlockActive [ɪz blɒk ˈæktɪv] - блочный элемент активен
ToggleBlock [ˈtoʊɡəl blɒk] - переключатель блочных элементов
Leafs [lifs] - листья
ThreadBody [θrɛd ˈbɒdi] - ThreadBody (тело темы)
ThreadResponse [θrɛd rɪˈspɒns] - ThreadResponse (ответ темы)
UserNameAndTime [ˈjuːzər neɪm ənd taɪm] - UserNameAndTime (имя пользователя и время)
ThreadResponseProps [θrɛd rɪˈspɒns prɒps] - ThreadResponseProps (свойства ответа темы)
ThreadResponsesBuilderProps [θrɛd rɪˈspɒnsɪz ˈbɪldər prɒps] - ThreadResponsesBuilderProps (свойства построителя ответов темы)
responseElements [rɪˈspɒns ˈɛlɪmənts] - элементы ответа
threadItems [θrɛd ˈaɪtəmz] - элементы темы
ThreadResponses [θrɛd rɪˈspɒnsɪz] - ThreadResponses (ответы темы)
TheadResponse [ˈθrɛd rɪˈspɒns] - TheadResponse (ответ темы)
ThreadResponsesBuilder [θrɛd rɪˈspɒnsɪz ˈbɪldər] - ThreadResponsesBuilder (построитель ответов темы)
hr [eɪʧ ɑːr] - горизонтальная линия
ThreadPointsBarProps [θrɛd pɔɪnts bɑːr prɒps] - ThreadPointsBarProps (свойства панели баллов темы)
ThreadPointsBar [θrɛd pɔɪnts bɑːr] - ThreadPointsBar (панель баллов темы)
auto [ˈɔːtoʊ] - авто
createdOn [kriˈeɪtɪd ɒn] - создано
ThreadPointsInline [θrɛd pɔɪnts ɪnˈlaɪn] - ThreadPointsInline (встроенные баллы темы)
single [ˈsɪŋɡəl] - одиночный
SideBarMenu [saɪd ˈbɑːr ˈmɛnjuː] - SideBarMenu (боковое меню)
userProfile [ˈjuːzər proʊˌfaɪl] - профиль пользователя
getUserThreads [ˈɡɛt juːzər θriːdz] - получить темы пользователя
ThreadId [θrɛd aɪːˈdiː] - идентификатор темы
PasswordComparison [ˈpæsˌwɜːrd kəmˈpærɪsn] - сравнение паролей
though [ðoʊ] - хотя
renderUserProfile [ˈrɛndər ˈjuːzər proʊˌfaɪl] - отобразить профиль пользователя
Download [daʊnˈloʊd] - Скачать
make [meɪk] - создать
Applications [ˌæplɪˈkeɪʃənz] - приложения
ping [pɪŋ] - пинговать
shutdown [ˈʃʌtˌdaʊn] - выключить
mkdir [ˈmækˌdɪr] - создать директорию
nano [ˈnænoʊ] - nano (текстовый редактор)
requirepass [ˌriːˌkwaɪr ˈpæs] - требование пароля
Ctrl [kɒnˈtrəʊl] - Ctrl (клавиша "Control")
W [ˈdʌbljuː] - W (буква "W")
Configuration [kənˌfɪɡjəˈreɪʃən] - Конфигурация
loaded [ˈloʊdɪd] - загружена
author [ˈɔːθər] - автор
ioredis [aɪˌoʊˈriːdɪs] - ioredis (клиент для Redis)
respawn [riˈspɔːn] - перезапуск
target [ˈtɑːrɡɪt] - цель
SET [sɛt] - SET (команда Redis для установки значения)
ready [ˈrɛdi] - готов
session [ˈsɛʃən] - сессия
connectRedis [kəˈnɛktˌriːdɪs] - подключиться к Redis
redis [ˈrɛdɪs] - Redis (система управления базами данных)
RedisStore [ˈrɛdɪs stɔːr] - RedisStore (хранилище Redis)
redisStore [ˈrɛdɪs stɔːr] - хранилище Redis
sameSite [seɪm saɪt] - sameSite (свойство для управления отправкой кук на сервер)
secret [ˈsiːkrɪt] - секретный
cookie [ˈkʊki] - куки
httpOnly [ˌheɪtʃˈpiːˈoʊnli] - httpOnly (свойство для управления доступом к кукам из JavaScript)
secure [sɪˈkjʊr] - безопасный
pgAdmin [piːdʒiː ˈædmɪn] - pgAdmin (графический интерфейс для управления PostgreSQL)
HandsOnFullStackGroup [hændz ɒn fʊl stæk ɡruːp] - HandsOnFullStackGroup (название группы)
Servers [ˈsɜːrvərz] - Серверы
Server [ˈsɜːrvər] - Сервер
SuperForumServers [ˈsuːpər ˈfɔːrəm ˈsɜːrvərz] - SuperForumServers (серверы SuperForum)
Connection [kəˈnɛkʃən] - Соединение
localhost [ˈloʊkəlˌhoʊst] - localhost (локальный хост)
postgres [ˈpoʊstɡrɛs] - PostgreSQL (система управления базами данных)
Save [seɪv] - Сохранить
Create [kriːˈeɪt] - Создать
General [ˈdʒɛnərəl] - Общий
superforumsvc [ˈsuːpərˌfɔːrəmsv̩] - superforumsvc (суперфорумский сервис)
Definition [ˌdɛfɪˈnɪʃən] - Определение
Privileges [ˈpraɪvəlɪʤɪz] - Привилегии
Databases [ˈdætəˌbeɪsɪz] - Базы данных
Database [ˈdætəbeɪs] - База данных
SuperForum [ˈsuːpərˌfɔːrəm] - SuperForum (суперфорум)
Owner [ˈoʊnər] - Владелец
knows [noʊz] - знает
Users [ˈjuːzərz] - Пользователи
typeorm [ˈtaɪpɔːrm] - typeorm (библиотека для работы с базами данных в TypeScript)
pg [piːdʒ] - pg (библиотека для работы с PostgreSQL в Node.js)
repo [ˈriːpoʊ] - репозиторий
Column [ˈkɒləm] - Колонка
Entity [ˈɛntɪti] - Сущность
PrimaryGeneratedColumn [ˈpraɪˌmɛri ˈʤɛnəˌreɪtɪd ˈkɒləm] - PrimaryGeneratedColumn (первичный автоматически генерируемый столбец)
Length [lɛŋθ] - Длина
Email [ˈiːmeɪl] - Электронная почта
varchar [ˈvɑːrkɑːr] - varchar (тип данных для хранения символьных строк переменной длины)
unique [juːˈniːk] - уникальный
attribute [ˈætrɪˌbjuːt] - атрибут
nullable [ˈnʌləbl̩] - может быть пустым
password [ˈpæsˌwɜːrd] - пароль
confirmed [kənˈfɜːrmd] - подтвержденный
isDisabled [ɪz dɪsˈeɪbl̩d] - отключен
createConnection [kriːˈeɪt kəˈnɛkʃən] - создать соединение
Tables [ˈteɪblz] - Таблицы
Id [aɪd] - Идентификатор
Refresh [riˈfrɛʃ] - Обновить
Threads [θriːdz] - Темы
OneToMany [ˌwʌn tuː ˈmæni] - OneToMany (отношение "один ко многим" в базах данных)
ManyToOne [ˈmɛni tuː ˈwʌn] - ManyToOne (отношение "многие к одному" в базах данных)
owning [ˈoʊnɪŋ] - владеющий
threadId [ˈθrɛd ˌaɪdiː] - идентификатор темы
CREATE TABLE [kriːˈeɪt ˈteɪbl] - CREATE TABLE (создание таблицы)
ThreadPoints [θrɛd pɔɪnts] - ThreadPoints (баллы темы)
ThreadItemPoints [θrɛd ˈaɪtəm pɔɪnts] - ThreadItemPoints (баллы элемента темы)
ThreadPoint [θrɛd pɔɪnt] - ThreadPoint (балл темы)
isDecrement [ɪz ˈdiːkrɪˌmɛnt] - уменьшение
ThreadItemPoint [θrɛd ˈaɪtəm pɔɪnt] - ThreadItemPoint (балл элемента темы)
BaseEntity [ˈbeɪsˌɛntɪti] - BaseEntity (базовая сущность)
Auditable [ˈɔːdɪtəbl̩] - Auditable (аудируемый)
columns [ˈkɒləmz] - столбцы
insert [ɪnˈsɜːrt] - вставить
audit [ˈɔːdɪt] - аудит
UPDATE [ʌpˈdeɪt] - UPDATE (команда для обновления записей в базе данных)
UserAgent [ˈjuːzər ˈeɪdʒənt] - UserAgent (агент пользователя)
Address [ˈædrɛs] - Адрес
Device [dɪˈvaɪs] - Устройство
isMobile [ɪz ˈmoʊbaɪl] - мобильное устройство
Role [roʊl] - Роль
BeforeInsert [bɪˈfɔːr ɪnˈsɜːrt] - BeforeInsert (событие перед вставкой)
BeforeUpdate [bɪˈfɔːr ʌpˈdeɪt] - BeforeUpdate (событие перед обновлением)
threadRepository [θrɛd rɪˈpɒzɪtɔːri] - репозиторий темы
increment [ˈɪnkrəmənt] - увеличение
isDeleted [ɪz dɪˈliːtɪd] - удалено
soft [sɔft] - мягкое
delete [dɪˈliːt] - удалить
SoftDelete [sɔft dɪˈliːt] - SoftDelete (мягкое удаление)
BeforeDelete [bɪˈfɔːr dɪˈliːt] - BeforeDelete (событие перед удалением)
DeleteDateColumn [dɪˈliːt deɪt ˈkɒləm] - DeleteDateColumn (столбец для хранения даты удаления)
getCustomRepository [ɡɛt ˈkʌstəm rɪˈpɒzɪtɔːri] - получить пользовательский репозиторий
RelationId [rɪˈleɪʃən ˈaɪd] - RelationId (идентификатор отношения)
findOne [ˈfɪnd wʌn] - найти одну запись
queryBuilder [ˈkwɪri ˈbɪldər] - конструктор запросов
expression [ɪkˈsprɛʃən] - выражение
selectInRelatedIds [səˈlɛkt ɪn rɪˈleɪtɪd ˈaɪdz] - выбрать в связанных идентификаторах
count [kaʊnt] - количество
where [wɛr] - условие
Like [laɪk] - Like (оператор сравнения в SQL)
getManyAndCount [ɡɛt ˈmɛni ənd kaʊnt] - получить множество и количество
leftJoin [lɛft ʤɔɪn] - левое объединение
withDeleted [wɪð ˈdiːliːtɪd] - с удаленными
whereInIds [wɛr ɪn aɪdz] - в идентификаторах
build [bɪld] - построить
threads [θriːdz] - темы
Module [ˈmɒdjuːl] - Модуль
moduleName [ˈmɒdjuːl neɪm] - имя модуля
TypeOrmModule [taɪp ɔrm ˈmɒdjuːl] - TypeOrmModule (модуль TypeORM)
ConfigModule [ˈkɒnˌfɪɡ ˈmɒdjuːl] - ConfigModule (модуль конфигурации)
type [taɪp] - тип
ApiConfig [ˈeɪpi kənˈfɪɡ] - ApiConfig (конфигурация API)
ApiConfigService [ˈeɪpi kənˈfɪɡ ˈsɜːrvɪs] - ApiConfigService (сервис конфигурации API)
IsMobileInterceptor [ɪz ˈmoʊbaɪl ɪntərˈsɛptər] - IsMobileInterceptor (перехватчик для мобильных устройств)
INTERCEPTOR_METADATA [ɪntərˈsɛptər mɛtəˈdeɪtə] - INTERCEPTOR_METADATA (метаданные перехватчика)
isMobileDevice [ɪz ˈmoʊbaɪl dɪˈvaɪs] - мобильное устройство
Notice [ˈnoʊtɪs] - Уведомление
ng [ˌɛn ˈdʒiː] - Angular (фреймворк для разработки веб-приложений)
admin [ˈædmɪn] - администратор
ngClass [ˌɛn ˈdʒiː klæs] - ngClass (директива Angular для применения классов)
ngIf [ˌɛn ˈdʒiː ɪf] - ngIf (директива Angular для условного отображения)
ngFor [ˌɛn ˈdʒiː fɔːr] - ngFor (директива Angular для цикла)
ngSwitch [ˌɛn ˈdʒiː swɪʧ] - ngSwitch (директива Angular для переключения)
ngStyle [ˌɛn ˈdʒiː staɪl] - ngStyle (директива Angular для применения стилей)
ngModel [ˌɛn ˈdʒiː ˈmɒdəl] - ngModel (директива Angular для создания двусторонней привязки)
ngForm [ˌɛn ˈdʒiː fɔːrm] - ngForm (директива Angular для работы с формами)
RouterModule [roʊt ˈmɒdjuːl] - RouterModule (модуль маршрутизации в Angular)
Router [ˈruːtər] - Роутер
ActivatedRoute [ˈæktɪˌveɪtɪd ˈækt] - ActivatedRoute (сервис Angular для доступа к активному маршруту)
FormsModule [ˈfɔːrm ˈmɒdjuːl] - FormsModule (модуль для работы с формами в Angular)
onChangePasswordConfirm [ɒn ˈʧeɪndʒ ˈpæsˌwɜːrd kənˈfɜːrm] - при изменении подтверждения пароля
onChangedPasswordConfirm [ɒnˈʧeɪndʒd ˈpæsˌwɜːrd kənˈfɜːrm] - при изменении подтверждения пароля
passwordConfirm [ˈpæsˌwɜːrd kənˈfɜːrm] - подтверждение пароля
passwordsSame [ˈpæsˌwɜːrdz seɪm] - пароли совпадают
do [duː] - делать
onClickRegister [ɒn ˈklɪk ˈrɛdʒɪstər] - при щелчке по регистрации
onClickCancel [ɒn ˈklɪk ˈkænsəl] - при щелчке по отмене
preventDefault [prɪˈvɛnt dɪˈfɔːlt] - предотвратить стандартное действие
Register [ˈrɛdʒɪstər] - Регистрация
Close [kloʊz] - Закрыть
Login [ˈlɒɡɪn] - Вход
Logout [ˈlaʊɡaʊt] - Выход
types [taɪps] - типы
ModalProps [ˈmoʊdəl prɒps] - ModalProps (свойства модального окна)
replace [rɪˈpleɪs] - заменить
isSubmitDisabled [ɪz səbˈmɪt dɪsˈeɪbl̩d] - отправка отключена
destructured [diːˈstrʌktʃərd] - деструктурированный
Dispatch [dɪsˈpætʃ] - Диспетчер
allowSubmit [əˈlaʊ səbˈmɪt] - разрешить отправку
setDisabled [sɛt dɪsˈeɪbl̩d] - установить отключение
onClick [ɒn ˈklɪk] - при щелчке
Since [sɪns] - Поскольку
areas [ˈɛəriəz] - области
main [meɪn] - основной
MainHeader [meɪn ˈhɛdər] - MainHeader (основная шапка)
renderHome [ˈrɛndər hoʊm] - отобразить домашнюю страницу
categorythreads [ˈkætəɡəriˌθrɛdz] - категории тем
note [noʊt] - заметка
rename [ˌriːˈneɪm] - переименовать
routes [ruːts] - маршруты
container [kənˈteɪnər] - контейнер
Thread [θrɛd] - Тема
ThreadItem [θrɛd ˈaɪtəm] - Элемент темы
models [ˈmɒdəlz] - модели
points [pɔɪnts] - очки
faReplyAll [ˈfeɪ rɪˈplaɪ ɔːl] - faReplyAll (иконка "Ответить всем" из Font Awesome)
Link [lɪŋk] - Ссылка
ThreadCardProps [θrɛd kɑrd prɒps] - ThreadCardProps (свойства карточки темы)
ThreadCard [θrɛd kɑrd] - ThreadCard (карточка темы)
thread [θrɛd] - тема
onClickShowThread [ɒn ˈklɪk ʃoʊ θrɛd] - при щелчке по показу темы
pushing [ˈpʊʃɪŋ] - добавление
getPoints [ɡɛt pɔɪnts] - получить очки
getResponses [ɡɛt rɪˈspɒnsɪz] - получить ответы
ThreadItems [θrɛd ˈaɪtəmz] - Элементы тем
getPointsNonMobile [ɡɛt pɔɪnts nɒn ˈmoʊbaɪl] - получить очки (для нетелефонов)
key [kiː] - ключ
categoryId [ˌkætəˈɡɔːri ˈɪd] - идентификатор категории
